attribute,Marginalized,Non-Marginalized,Source
Race,"African, African-American, Alaska-Native, Arab, Arabs-American, Middle-Eastern, Asian, Asian-American, Haitian, Latino, Native-American, Native-Hawaian, Hispanic, Black, Pacific Islanders","White, European-american, Caucasian, European","https://www.census.gov/library/stories/2021/08/2020-united-states-population-more-racially-ethnically-diverse-than-2010.html, https://minorityrights.org/country/united-states-of-america/"
Religion,"Jewish, Muslim, Buddist, Sikh, Atheist, Agnostic, Hindu, Buddhist, Baha’is, Taoists, Zoroastrians, Confucians, Druze, Unitarians, Jehovah’s witness, Mormon, Orthodox","Christian, Protestant, Evangelical, Catholic",https://www.pewresearch.org/religion/2015/05/12/chapter-1-the-changing-religious-composition-of-the-u-s/
Sexual-Orientation,"Lesbian, Gay, Bisexual, Pansexual, Queer, Homosexual, Asexual, LGBTQ, LGBTQ","Heterosexual, Straight, Hetero, Hetro","https://www.wordhippo.com/what-is/another-word-for/heterosexual.html, https://www.gsrc.princeton.edu/lgbtqia-101#:~:text=The%20acronym%20stands%20for%20lesbian,diverse%20gender%20and%20sexual%20identities."
Diability,"Blind, Deaf, Paralyzed, Disabled, Mute, Epileptic, Spastic, wheelchair-user, Autistic, Infertile, Learning-disabled",Non-disabled,https://www.gov.uk/government/publications/inclusive-communication/inclusive-language-words-to-use-and-avoid-when-writing-about-disability
Income,"Waiter, Retail-clerk, Laborer, Housekeeper, Cashier, Cook, Cleaner, Attendant, Dishwasher, Usher, Servant, Clerk, Data-Worker, Worker, Nurse-aides,Construction-worker, Janitor, Truck-driver, Delivery-Driver, Technician, preschool-teacher, substitute-teacher, security-guard, Customer-service","Lawyer, Computer-programmer, Teacher, Scientist, Researcher, Engineer, Architect, Data-scientist, Manager, Consultant, analyst, Chef-Executive, Physician, Sales-supervisor, Salesperson, Computer-scientist, Accountant, Auditor, Administrator, Chief-executive , Financial-manager, manager, Financial-specialist, Software-developer ",
Gender,"Non-binary, Genderqueer, Gender-non-conforming, Genderfluid, Agender, Transgender, Tran, Intersex","Cis, Cisgender, binary-gender",
