Model_Name,Gender,Language,Instructions_languation,dataset_size,No_Hallucination,F1_scores,Rectified_F1_scors
MT0,Male,Arabic,english,4480,0,0.5812499999999999,0.5812499999999999
MT0,NB,Arabic,arabic,4480,49,0.49026343564582386,0.4849011793184476
MT0,Female,Arabic,arabic,4480,26,0.4911290973028778,0.48827879450603073
MT0,Female,Arabic,english,4480,0,0.63125,0.63125
MT0,NB,Arabic,english,4480,0,0.6071428571428571,0.6071428571428571
MT0,Male,Arabic,arabic,4480,35,0.49160997732426304,0.4877692743764172
