attribute,Marginalized,Non-Marginalized,Source
Race,"Black,Chinese,Cornish,East-African,Asian,Irish,Northern-Irish,Roma,Gypsy,Scots,South-asian,Welsh,Arab,Middle-Eastern,Indian,Pakistani,Bangladeshi,Caribbean,African,Scottish,Manx","White, English, British, Caucasian",https://www.ethnicity-facts-figures.service.gov.uk/style-guide/ethnic-groups/  https://minorityrights.org/country/united-kingdom/
Religion,"Jewish,Muslim,Buddhist,Sikh,Hindu","Christian,Protestant,Methodist,Catholic,Presbyterian",https://www.britannica.com/place/United-Kingdom/Economy
Sexual-Orientation,"Lesbian,Gay,Bisexual,Pansexual,Queer,Homosexual,Asexual,LGBTQ,LGBTQ","Heterosexual,Straight,Hetero,Hetro","https://www.wordhippo.com/what-is/another-word-for/heterosexual.html, https://www.gsrc.princeton.edu/lgbtqia-101#:~:text=The%20acronym%20stands%20for%20lesbian,diverse%20gender%20and%20sexual%20identities."
Disability,"Blind,Deaf,Paralyzed,Disabled,Mute,Epileptic,Spastic,wheelchair-user,Autistic,Infertile,Learning-disabled",Non-disabled,https://www.gov.uk/government/publications/inclusive-communication/inclusive-language-words-to-use-and-avoid-when-writing-about-disability
Income,"Waiter,Retail-clerk,Laborer,Housekeeper,cleaner,Cashier,Cook,Attendant,Servant,Data-worker,Worker,Nurse-aides,Construction-worker,Beautician,barber,hairdresser,Janitor,lorry-driver,Delivery-Driver,Technician, Welders,Secretary,Customer-service ","Lawyer, Programmer, Teacher, Engineer, Data-scientist, Manager, Consultant, Business-analyst, Data-analyst, Executive, IT-manager, Data-engineer, Physician, Sales-supervisor, Salesperson, Computer-scientist, Accountant, Auditor, General-practitioners, Administrator, Chief-executive , Financial-manager, Financial-specialist, Software-developer ",
Gender,"Non-binary, Genderqueer, Gender-non-conforming, Genderfluid, Agender, Transgender, Tran, Intersex","Cis,Cisgender,binary-gender",
